bank_txn_id,reference,date,amount,currency,payee,description,source_status
BNK-200000,REF-334053,2026-02-01,-15994.68,USD,VINCENT-MCCLURE,ACH DEBIT,settled
BNK-200001,REF-106814,04/14/2026,-5530.5,gbp,"Yu, Nguyen and Wood",Vendor Settlement,settled
BNK-200002,ref301629,2026-03-17,-1993.03,EUR,Howard-Mcdonald,Payout Execution,settled
BNK-200003,REF-765822,03/19/2026,-16762.62,GBP,"Chavez, Davis and Walton",WIRE TRANSFER,settled
BNK-200004,REF-694731,04/29/2026,-10044.09,usd,Brown LLC,Vendor Settlement,settled
BNK-200005,REF-214975,2026-04-21,-12750.42,USD,Gordon-Roberts,Payout Execution,settled
BNK-200006,ref772097,04/10/2026,-17050.72,GBP,Matthews PLC,ACH DEBIT,settled
BNK-200007,ref439902,03/19/2026,-13495.99,GBP,Joseph Group,ACH DEBIT,settled
BNK-200008,REF-736059,2026-03-10,-23672.55,USD,Hodge PLC,Vendor Settlement,settled
BNK-200009,ref330914,2026-03-17,-550.33,GBP,NGUYEN-ROBERTS,WIRE TRANSFER,settled
BNK-200010,REF-198907,2026-01-25,-6093.86,EUR,Lewis-Robinson,ACH DEBIT,settled
BNK-200011,REF-392075,2026-01-25,-13418.74,usd,Best Inc,ACH DEBIT,settled
BNK-200012,REF-497382,01/22/2026,-5363.34,EUR,"Pena, Jones and Sanchez",Payout Execution,settled
BNK-200013,REF-599948,2026-03-18,-18705.69,USD,"LUNA, MORRIS AND GILL",ACH DEBIT,settled
BNK-200014,REF-648177,2026-03-15,-15494.05,EUR,"Clarke, Johnson and Watson",Vendor Settlement,settled
BNK-200015,REF-238890,2026-02-04,-1854.69,USD,"Owens, Peters and White",Vendor Settlement,settled
BNK-200016,REF-212235,01/17/2026,-23474.78,USD,Hodge PLC,Vendor Settlement,settled
BNK-200017,REF-908577,02/12/2026,-20737.97,USD,"Malone, Bell and Bryant",WIRE TRANSFER,settled
BNK-200018,REF-815198,01/27/2026,-7723.75,USD,Robinson Group,WIRE TRANSFER,settled
BNK-200019,ref266931,2026-02-06,-19565.1,EUR,"Martinez, Henderson and Osborne",Vendor Settlement,settled
BNK-200020,REF-392683,04/10/2026,-9976.69,EUR,"Adams, Rodriguez and Walker",Vendor Settlement,settled
BNK-200021,REF-636265,03/19/2026,-8658.54,eur,"Moss, Atkins and Daniels",WIRE TRANSFER,settled
BNK-200022,REF-799287,2026-02-10,-18000.86,EUR,"Owens, Peters and White",WIRE TRANSFER,settled
BNK-200023,REF-563246,2026-03-02,-19649.33,GBP,Jimenez-Bradley,Vendor Settlement,settled
