erp_entry_id,reference,posting_date,amount,currency,vendor_name,gl_account,status
ERP-300000,REF-334053,01-02-2026,15994.68,USD,Vincent-Mcclure,4010,booked
ERP-300001,REF-106814,14-04-2026,5530.5,GBP,"Yu, Nguyen and Wood",4010,booked
ERP-300002,REF-301629,15-03-2026,1993.03,EUR,Howard-Mcdonald,2002,booked
ERP-300003,REF-765822,19-03-2026,16762.62,GBP,"Chavez, Davis and Walton",3050,booked
ERP-300004,REF-694731,27-04-2026,10044.09,USD,Brown LLC,2002,booked
ERP-300005,REF-214975,21-04-2026,12750.42,USD,Gordon-Roberts,2001,booked
ERP-300006,REF-772097,09-04-2026,17050.72,GBP,Matthews PLC,2002,booked
ERP-300007,REF-439902,18-03-2026,13495.99,GBP,Joseph Group,4010,booked
ERP-300008,REF-736059,09-03-2026,23672.55,USD,Hodge PLC,3050,booked
ERP-300009,REF-330914,17-03-2026,550.33,GBP,Nguyen-Roberts,4010,booked
ERP-300010,REF-198907,25-01-2026,6093.86,EUR,Lewis-Robinson,2002,booked
ERP-300011,REF-392075,24-01-2026,13418.74,USD,Best Inc,4010,booked
ERP-300012,REF-497382,22-01-2026,5363.34,EUR,"Pena, Jones and Sanchez",2001,booked
ERP-300013,REF-599948,16-03-2026,18705.69,USD,"Luna, Morris and Gill",2001,booked
ERP-300014,,14-03-2026,15494.05,EUR,"Clarke, Johnson and Watson",2001,booked
ERP-300015,REF-238890,03-02-2026,1854.69,USD,"Owens, Peters and White",2001,booked
ERP-300016,REF-212235,15-01-2026,23474.78,USD,Hodge PLC,4010,booked
ERP-300017,REF-908577,12-02-2026,20737.97,USD,"Malone, Bell and Bryant",2001,booked
ERP-300018,,27-01-2026,7723.75,USD,Robinson Group,3050,booked
ERP-300019,,04-02-2026,19565.1,EUR,"Martinez, Henderson and Osborne",2002,booked
ERP-300020,REF-392683,09-04-2026,9976.69,EUR,"Adams, Rodriguez and Walker",4010,booked
ERP-300021,REF-636265,19-03-2026,8658.54,EUR,"Moss, Atkins and Daniels",2001,booked
ERP-300022,REF-799287,09-02-2026,18000.86,EUR,"Owens, Peters and White",4010,booked
ERP-300023,REF-563246,01-03-2026,19649.33,GBP,Jimenez-Bradley,2002,booked
ERP-300024,,02-03-2026,3705.17,USD,Brown and Sons,2002,booked
ERP-300025,REF-940346,18-01-2026,22938.81,USD,Reed PLC,2002,booked
ERP-300026,,04-03-2026,21000.58,EUR,Lawrence-Lee,4010,booked
ERP-300027,REF-316881,08-01-2026,8288.76,EUR,Kirk-Henson,4010,booked
ERP-300028,REF-732556,13-04-2026,13467.06,GBP,Prince-Martinez,2001,booked
ERP-300029,REF-584125,21-04-2026,2121.59,EUR,Ramsey-Caldwell,2001,booked
ERP-300030,REF-171951,25-03-2026,24997.7,EUR,Orozco Ltd,2002,booked
ERP-300031,REF-959099,10-04-2026,15157.17,GBP,Davenport PLC,2001,booked
ERP-300032,REF-630538,09-01-2026,8696.41,EUR,Goodwin-Martinez,4010,booked
ERP-300033,REF-993085,11-02-2026,11635.22,GBP,Allen Inc,3050,booked
ERP-300034,REF-725113,23-04-2026,19950.86,EUR,Robbins LLC,2001,booked
ERP-300035,REF-355123,30-03-2026,2349.01,USD,Mccoy-Mccarthy,2002,booked
ERP-300036,REF-823688,08-04-2026,7905.81,GBP,Wilson Group,2001,booked
ERP-300037,REF-889359,23-03-2026,13845.14,GBP,Kennedy-Marks,2001,booked
ERP-300038,REF-360247,11-01-2026,3814.38,GBP,Wilson Ltd,2001,booked
ERP-300039,REF-317881,08-04-2026,15250.53,GBP,"Evans, Conway and Hall",3050,booked
ERP-300040,REF-344762,29-03-2026,17582.11,EUR,"Chavez, Davis and Walton",3050,booked
ERP-300041,REF-522060,31-03-2026,10992.86,EUR,Wilson Ltd,3050,booked
ERP-300042,REF-783157,08-03-2026,14416.77,USD,Allen Ltd,4010,booked
ERP-300043,REF-576919,05-01-2026,7223.24,EUR,"Walker, Garcia and Mcguire",4010,booked
ERP-300044,REF-675898,04-02-2026,15644.58,USD,Walter Inc,2001,booked
ERP-300045,REF-851413,05-03-2026,11549.66,USD,Smith Ltd,3050,booked
ERP-300046,REF-925981,30-04-2026,19322.56,EUR,"Wilson, Robertson and Gonzalez",3050,booked
ERP-300047,REF-501574,15-03-2026,21743.3,GBP,"Johnson, Meyer and Hanna",4010,booked
ERP-300048,REF-251157,03-04-2026,2515.3,EUR,"Robinson, Bauer and Brown",4010,booked
ERP-300049,,31-01-2026,21812.77,USD,"Adams, Rodriguez and Walker",2001,booked
ERP-300050,REF-356059,19-01-2026,7351.86,EUR,"Fleming, King and Herring",4010,booked
ERP-300051,REF-401603,26-04-2026,6401.78,USD,Cox-Hickman,2001,booked
ERP-300052,REF-410244,15-03-2026,5949.21,GBP,Robinson Group,3050,booked
ERP-300053,REF-892280,28-03-2026,5494.64,USD,Davis Group,3050,booked
ERP-300054,REF-238579,26-01-2026,8184.81,EUR,Bryant LLC,2001,booked
ERP-300055,REF-943671,19-04-2026,3540.41,USD,Fitzpatrick-Henderson,4010,booked
ERP-300056,REF-739717,28-04-2026,649.99,GBP,Thompson-Washington,2002,booked
ERP-300057,REF-715870,23-02-2026,9731.43,EUR,Stone and Sons,3050,booked
ERP-300058,REF-776149,11-03-2026,2506.38,GBP,Shaw-Stuart,2002,booked
ERP-300059,REF-326441,17-03-2026,1738.54,GBP,Ingram PLC,3050,booked
ERP-300060,REF-282710,03-01-2026,19754.87,USD,"Fox, Hernandez and Ryan",3050,booked
ERP-300061,REF-988456,03-03-2026,11464.61,USD,Roach and Sons,3050,booked
ERP-300062,REF-931621,13-01-2026,11356.54,GBP,"Fleming, King and Herring",3050,booked
ERP-300063,REF-597305,29-03-2026,16636.07,EUR,Smith Ltd,2001,booked
ERP-300064,REF-208633,15-02-2026,24210.76,GBP,Todd-Oconnor,3050,booked
ERP-300065,REF-456331,28-04-2026,748.11,EUR,Newman-Thomas,2002,booked
ERP-300066,REF-695164,10-04-2026,9267.08,GBP,"Martinez, Joseph and Simmons",2001,booked
ERP-300067,,28-03-2026,8645.69,USD,"Rodriguez, Sutton and Santiago",4010,booked
ERP-300068,REF-341288,01-04-2026,4412.98,EUR,"Bryant, Harrison and Carter",4010,booked
ERP-300069,REF-280222,11-02-2026,7255.64,EUR,Holmes and Sons,2002,booked
ERP-300070,REF-634723,09-03-2026,1932.57,GBP,Davenport PLC,4010,booked
ERP-300071,REF-814220,27-02-2026,11612.23,GBP,Gomez-Cardenas,3050,booked
ERP-300072,REF-972097,17-02-2026,11557.02,USD,Welch-Peck,4010,booked
ERP-300073,REF-950360,14-01-2026,12546.65,USD,"Shaw, Baker and Scott",4010,booked
ERP-300074,REF-761532,12-04-2026,10234.02,EUR,Flynn-Matthews,4010,booked
ERP-300075,REF-686072,09-02-2026,3245.57,GBP,White Group,4010,booked
ERP-300076,REF-410160,10-01-2026,4820.33,USD,"Frey, Mcgee and Bailey",2001,booked
ERP-300077,REF-740255,26-02-2026,10286.19,GBP,Lane-Hines,3050,booked
ERP-300078,REF-269930,23-02-2026,19458.65,GBP,"Waller, Bass and Mitchell",2002,booked
ERP-300079,REF-573041,15-04-2026,20780.39,USD,Mann Group,2002,booked
ERP-300080,,08-04-2026,981.62,EUR,"Cox, Fernandez and Baker",4010,booked
ERP-300081,REF-216242,09-01-2026,15982.82,GBP,Farrell-Willis,3050,booked
ERP-300082,REF-924613,06-03-2026,1715.29,GBP,"Rice, Wallace and Castillo",3050,booked
ERP-300083,REF-953025,13-02-2026,3356.9,EUR,Prince-Martinez,3050,booked
ERP-300084,REF-669408,15-04-2026,23335.94,GBP,Fitzpatrick-Henderson,4010,booked
ERP-300085,REF-621691,30-03-2026,8492.44,USD,Arroyo-Pope,4010,booked
ERP-300086,REF-144412,27-02-2026,4186.95,EUR,Flynn Group,2002,booked
ERP-300087,REF-232361,05-01-2026,21220.52,GBP,Robinson and Sons,4010,booked
ERP-300088,REF-127172,15-01-2026,7876.78,EUR,"Martinez, Henderson and Osborne",2002,booked
ERP-300089,REF-848022,26-04-2026,21324.34,EUR,Anderson-Parks,2002,booked
ERP-300090,REF-928766,31-01-2026,3056.03,USD,"Cox, Fernandez and Baker",2001,booked
ERP-300091,REF-588461,27-02-2026,3155.04,EUR,Gonzalez-Pennington,2002,booked
ERP-300092,REF-182690,19-04-2026,8666.93,GBP,"Rodriguez, Sutton and Santiago",2001,booked
ERP-300093,REF-772612,06-01-2026,20635.28,USD,Cochran Inc,2001,booked
ERP-300094,REF-607774,23-02-2026,17223.12,USD,Rhodes Ltd,4010,booked
ERP-300095,REF-201514,19-01-2026,3084.98,EUR,Zimmerman Group,3050,booked
ERP-300096,REF-579441,06-03-2026,12446.82,USD,"Garner, Lawson and Richard",3050,booked
ERP-300097,REF-520040,06-01-2026,18194.51,EUR,Johnson-Ruiz,3050,booked
ERP-300098,REF-731728,26-01-2026,13956.85,EUR,"Dorsey, Patterson and Harrison",3050,booked
ERP-300099,REF-613641,10-03-2026,14853.27,GBP,Jones-Fuentes,4010,booked
ERP-300100,REF-961574,19-01-2026,4283.54,GBP,Wagner Ltd,2001,booked
ERP-300101,REF-440839,13-03-2026,17651.74,GBP,Ingram PLC,3050,booked
ERP-300102,REF-317346,01-04-2026,5641.05,EUR,"Jackson, Romero and Mendez",3050,booked
