transaction_id,payout_batch_id,reference,date,amount,currency,payee,description,source_status
TXN-100000,BATCH-1000,REF-334053,2026-02-01,15994.68,USD,Vincent-Mcclure,Vendor payout,approved
TXN-100001,BATCH-1000,REF-106814,2026-04-14,5530.5,GBP,"Yu, Nguyen and Wood",Vendor payout,approved
TXN-100002,BATCH-1000,REF-301629,2026-03-15,1993.03,EUR,Howard-Mcdonald,Vendor payout,approved
TXN-100003,BATCH-1000,REF-765822,2026-03-19,16762.62,GBP,"Chavez, Davis and Walton",Vendor payout,approved
TXN-100004,BATCH-1000,REF-694731,2026-04-27,10044.09,USD,Brown LLC,Vendor payout,approved
TXN-100005,BATCH-1000,REF-214975,2026-04-21,12750.42,USD,Gordon-Roberts,Vendor payout,approved
TXN-100006,BATCH-1000,REF-772097,2026-04-09,17050.72,GBP,Matthews PLC,Vendor payout,approved
TXN-100007,BATCH-1000,REF-439902,2026-03-18,13495.99,GBP,Joseph Group,Vendor payout,approved
TXN-100008,BATCH-1000,REF-736059,2026-03-09,23672.55,USD,Hodge PLC,Vendor payout,approved
TXN-100009,BATCH-1000,REF-330914,2026-03-17,550.33,GBP,Nguyen-Roberts,Vendor payout,approved
TXN-100010,BATCH-1000,REF-198907,2026-01-25,6093.86,EUR,Lewis-Robinson,Vendor payout,approved
TXN-100011,BATCH-1000,REF-392075,2026-01-24,13418.74,USD,Best Inc,Vendor payout,approved
TXN-100012,BATCH-1000,REF-497382,2026-01-22,5363.34,EUR,"Pena, Jones and Sanchez",Vendor payout,approved
TXN-100013,BATCH-1000,REF-599948,2026-03-16,18705.69,USD,"Luna, Morris and Gill",Vendor payout,approved
TXN-100014,BATCH-1000,REF-648177,2026-03-14,15494.05,EUR,"Clarke, Johnson and Watson",Vendor payout,approved
TXN-100015,BATCH-1000,REF-238890,2026-02-03,1854.69,USD,"Owens, Peters and White",Vendor payout,approved
TXN-100016,BATCH-1000,REF-212235,2026-01-15,23474.78,USD,Hodge PLC,Vendor payout,approved
TXN-100017,BATCH-1000,REF-908577,2026-02-12,20737.97,USD,"Malone, Bell and Bryant",Vendor payout,approved
TXN-100018,BATCH-1000,REF-815198,2026-01-27,7723.75,USD,Robinson Group,Vendor payout,approved
TXN-100019,BATCH-1000,REF-266931,2026-02-04,19565.1,EUR,"Martinez, Henderson and Osborne",Vendor payout,approved
TXN-100020,BATCH-1000,REF-392683,2026-04-09,9976.69,EUR,"Adams, Rodriguez and Walker",Vendor payout,approved
TXN-100021,BATCH-1000,REF-636265,2026-03-19,8658.54,EUR,"Moss, Atkins and Daniels",Vendor payout,approved
TXN-100022,BATCH-1000,REF-799287,2026-02-09,18000.86,EUR,"Owens, Peters and White",Vendor payout,approved
TXN-100023,BATCH-1000,REF-563246,2026-03-01,19649.33,GBP,Jimenez-Bradley,Vendor payout,approved
TXN-100024,BATCH-1000,REF-740967,2026-03-02,3705.17,USD,Brown and Sons,Vendor payout,approved
TXN-100025,BATCH-1001,REF-940346,2026-01-18,22938.81,USD,Reed PLC,Vendor payout,approved
TXN-100026,BATCH-1001,REF-757193,2026-03-04,21000.58,EUR,Lawrence-Lee,Vendor payout,approved
TXN-100027,BATCH-1001,REF-316881,2026-01-08,8288.76,EUR,Kirk-Henson,Vendor payout,approved
TXN-100028,BATCH-1001,REF-732556,2026-04-13,13467.06,GBP,Prince-Martinez,Vendor payout,approved
TXN-100029,BATCH-1001,REF-584125,2026-04-21,2121.59,EUR,Ramsey-Caldwell,Vendor payout,approved
TXN-100030,BATCH-1001,REF-171951,2026-03-25,24997.7,EUR,Orozco Ltd,Vendor payout,approved
TXN-100031,BATCH-1001,REF-959099,2026-04-10,15157.17,GBP,Davenport PLC,Vendor payout,approved
TXN-100032,BATCH-1001,REF-630538,2026-01-09,8696.41,EUR,Goodwin-Martinez,Vendor payout,approved
TXN-100033,BATCH-1001,REF-993085,2026-02-11,11635.22,GBP,Allen Inc,Vendor payout,approved
TXN-100034,BATCH-1001,REF-725113,2026-04-23,19950.86,EUR,Robbins LLC,Vendor payout,approved
TXN-100035,BATCH-1001,REF-355123,2026-03-30,2349.01,USD,Mccoy-Mccarthy,Vendor payout,approved
TXN-100036,BATCH-1001,REF-823688,2026-04-08,7905.81,GBP,Wilson Group,Vendor payout,approved
TXN-100037,BATCH-1001,REF-889359,2026-03-23,13845.14,GBP,Kennedy-Marks,Vendor payout,approved
TXN-100038,BATCH-1001,REF-360247,2026-01-11,3814.38,GBP,Wilson Ltd,Vendor payout,approved
TXN-100039,BATCH-1001,REF-317881,2026-04-08,15250.53,GBP,"Evans, Conway and Hall",Vendor payout,approved
TXN-100040,BATCH-1001,REF-344762,2026-03-29,17582.11,EUR,"Chavez, Davis and Walton",Vendor payout,approved
TXN-100041,BATCH-1001,REF-522060,2026-03-31,10992.86,EUR,Wilson Ltd,Vendor payout,approved
TXN-100042,BATCH-1001,REF-783157,2026-03-08,14416.77,USD,Allen Ltd,Vendor payout,approved
TXN-100043,BATCH-1001,REF-576919,2026-01-05,7223.24,EUR,"Walker, Garcia and Mcguire",Vendor payout,approved
TXN-100044,BATCH-1001,REF-675898,2026-02-04,15644.58,USD,Walter Inc,Vendor payout,approved
TXN-100045,BATCH-1001,REF-851413,2026-03-05,11549.66,USD,Smith Ltd,Vendor payout,approved
TXN-100046,BATCH-1001,REF-925981,2026-04-30,19322.56,EUR,"Wilson, Robertson and Gonzalez",Vendor payout,approved
TXN-100047,BATCH-1001,REF-501574,2026-03-15,21743.3,GBP,"Johnson, Meyer and Hanna",Vendor payout,approved
TXN-100048,BATCH-1001,REF-251157,2026-04-03,2515.3,EUR,"Robinson, Bauer and Brown",Vendor payout,approved
TXN-100049,BATCH-1001,REF-761820,2026-01-31,21812.77,USD,"Adams, Rodriguez and Walker",Vendor payout,approved
TXN-100050,BATCH-1002,REF-356059,2026-01-19,7351.86,EUR,"Fleming, King and Herring",Vendor payout,approved
TXN-100051,BATCH-1002,REF-401603,2026-04-26,6401.78,USD,Cox-Hickman,Vendor payout,approved
TXN-100052,BATCH-1002,REF-410244,2026-03-15,5949.21,GBP,Robinson Group,Vendor payout,approved
TXN-100053,BATCH-1002,REF-892280,2026-03-28,5494.64,USD,Davis Group,Vendor payout,approved
TXN-100054,BATCH-1002,REF-238579,2026-01-26,8184.81,EUR,Bryant LLC,Vendor payout,approved
TXN-100055,BATCH-1002,REF-943671,2026-04-19,3540.41,USD,Fitzpatrick-Henderson,Vendor payout,approved
TXN-100056,BATCH-1002,REF-739717,2026-04-28,649.99,GBP,Thompson-Washington,Vendor payout,approved
TXN-100057,BATCH-1002,REF-715870,2026-02-23,9731.43,EUR,Stone and Sons,Vendor payout,approved
TXN-100058,BATCH-1002,REF-776149,2026-03-11,2506.38,GBP,Shaw-Stuart,Vendor payout,approved
TXN-100059,BATCH-1002,REF-326441,2026-03-17,1738.54,GBP,Ingram PLC,Vendor payout,approved
TXN-100060,BATCH-1002,REF-282710,2026-01-03,19754.87,USD,"Fox, Hernandez and Ryan",Vendor payout,approved
TXN-100061,BATCH-1002,REF-988456,2026-03-03,11464.61,USD,Roach and Sons,Vendor payout,approved
TXN-100062,BATCH-1002,REF-931621,2026-01-13,11356.54,GBP,"Fleming, King and Herring",Vendor payout,approved
TXN-100063,BATCH-1002,REF-597305,2026-03-29,16636.07,EUR,Smith Ltd,Vendor payout,approved
