stripe_id,reference,date,gross_amount,fee,net_amount,currency,payee,status
po_4668136,REF-334053,2026-01-31T00:00:00Z,16007.08,12.44,15994.68,USD,Vincent-Mcclure,pending
po_6770619,REF-106814,2026-04-13T00:00:00Z,5561.08,16.34,5530.5,GBP,"Yu, Nguyen and Wood",processing
po_5663623,REF-301629,2026-03-14T00:00:00Z,2016.25,16.85,1993.03,EUR,Howard-Mcdonald,pending
po_6440561,REF-765822,2026-03-18T00:00:00Z,16804.92,15.74,16762.62,GBP,"Chavez, Davis and Walton",pending
po_8187926,REF-694731,2026-04-26T00:00:00Z,10089.08,8.59,10044.09,USD,Brown LLC,pending
po_9877065,REF-214975,2026-04-20T00:00:00Z,12763.74,11.51,12750.42,USD,Gordon-Roberts,settled
po_6007072,REF-772097,2026-04-08T00:00:00Z,17092.960000000003,10.65,17050.72,GBP,Matthews PLC,pending
po_2437026,REF-439902,2026-03-17T00:00:00Z,13532.85,16.5,13495.99,GBP,Joseph Group,pending
po_8350099,REF-736059,2026-03-08T00:00:00Z,23717.63,9.58,23672.55,USD,Hodge PLC,pending
po_5672073,REF-330914,2026-03-16T00:00:00Z,584.11,5.07,550.33,GBP,Nguyen-Roberts,pending
po_2016911,REF-198907,2026-01-24T00:00:00Z,6114.589999999999,7.45,6093.86,EUR,Lewis-Robinson,settled
po_2564689,REF-392075,2026-01-23T00:00:00Z,13465.13,17.13,13418.74,USD,Best Inc,pending
po_3597059,REF-497382,2026-01-21T00:00:00Z,5373.64,5.14,5363.34,EUR,"Pena, Jones and Sanchez",settled
po_4946066,REF-599948,2026-03-15T00:00:00Z,18726.48,18.89,18705.69,USD,"Luna, Morris and Gill",pending
po_8670955,REF-648177,2026-03-13T00:00:00Z,15510.539999999999,15.29,15494.05,EUR,"Clarke, Johnson and Watson",settled
po_9874152,REF-238890,2026-02-02T00:00:00Z,1856.0700000000002,16.52,1854.69,USD,"Owens, Peters and White",failed
po_9479356,REF-212235,2026-01-14T00:00:00Z,23499.719999999998,18.2,23474.78,USD,Hodge PLC,settled
po_1604451,REF-908577,2026-02-11T00:00:00Z,20779.870000000003,12.07,20737.97,USD,"Malone, Bell and Bryant",pending
po_3726327,REF-815198,2026-01-26T00:00:00Z,7772.58,16.4,7723.75,USD,Robinson Group,processing
po_6120253,REF-266931,2026-02-03T00:00:00Z,19606.309999999998,17.56,19565.1,EUR,"Martinez, Henderson and Osborne",pending
po_3995870,REF-392683,2026-04-08T00:00:00Z,10006.140000000001,19.69,9976.69,EUR,"Adams, Rodriguez and Walker",settled
po_7110622,REF-636265,2026-03-18T00:00:00Z,8680.67,19.03,8658.54,EUR,"Moss, Atkins and Daniels",failed
po_6049101,REF-799287,2026-02-08T00:00:00Z,18021.760000000002,16.84,18000.86,EUR,"Owens, Peters and White",failed
po_2566777,REF-563246,2026-02-28T00:00:00Z,19690.43,15.27,19649.33,GBP,Jimenez-Bradley,failed
po_2788238,REF-740967,2026-03-01T00:00:00Z,3744.31,5.16,3705.17,USD,Brown and Sons,processing
po_8481188,REF-940346,2026-01-17T00:00:00Z,22983.77,15.13,22938.81,USD,Reed PLC,processing
po_3530518,REF-757193,2026-03-03T00:00:00Z,21012.910000000003,14.19,21000.58,EUR,Lawrence-Lee,pending
po_9002392,REF-316881,2026-01-07T00:00:00Z,8290.050000000001,7.68,8288.76,EUR,Kirk-Henson,processing
po_3768991,REF-732556,2026-04-12T00:00:00Z,13509.24,18.47,13467.06,GBP,Prince-Martinez,settled
po_8072684,REF-584125,2026-04-20T00:00:00Z,2134.9500000000003,2.56,2121.59,EUR,Ramsey-Caldwell,settled
po_2919136,REF-171951,2026-03-24T00:00:00Z,25026.33,5.14,24997.7,EUR,Orozco Ltd,failed
po_5074336,REF-959099,2026-04-09T00:00:00Z,15163.16,15.68,15157.17,GBP,Davenport PLC,settled
po_3566765,REF-630538,2026-01-08T00:00:00Z,8718.75,14.94,8696.41,EUR,Goodwin-Martinez,failed
po_6643798,REF-993085,2026-02-10T00:00:00Z,11637.63,17.17,11635.22,GBP,Allen Inc,pending
po_5031966,REF-725113,2026-04-22T00:00:00Z,19985.7,13.27,19950.86,EUR,Robbins LLC,processing
po_6902401,REF-355123,2026-03-29T00:00:00Z,2384.4500000000003,6.15,2349.01,USD,Mccoy-Mccarthy,failed
po_4816534,REF-823688,2026-04-07T00:00:00Z,7924.490000000001,6.74,7905.81,GBP,Wilson Group,pending
po_9014965,REF-889359,2026-03-22T00:00:00Z,13851.73,2.24,13845.14,GBP,Kennedy-Marks,processing
po_5988757,REF-360247,2026-01-10T00:00:00Z,3857.53,19.81,3814.38,GBP,Wilson Ltd,failed
